,nominees,details,imdb_urls,award_show,year,award,winner,ref_year,metabase,rating,popularity,genres,budget,gross,minute,American Cinema Editors,BAFTA,Chicago Film Critics,Critics Choice,Golden Globes,Satellite,date,tt,tomatoURL,avg_score
15,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, Yorgos Lanthimos",https://www.imdb.com//title/tt5083738/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,90,7.6,188.0,"['Biography', 'Comedy', 'Drama', 'History']",15000000.0,95918706,119,1.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2019",tt5083738,https://www.rottentomatoes.com/m/the_favourite,0.8525
16,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, Kevin J. Messick",https://www.imdb.com//title/tt6266538/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,61,7.2,427.0,"['Biography', 'Comedy', 'Drama']",60000000.0,76073488,132,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 24, 2019",tt6266538,https://www.rottentomatoes.com/m/backseat_2018,0.645873015873016
17,The Shape of Water,"Guillermo del Toro, J. Miles Dale",https://www.imdb.com//title/tt5580390/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,1,3,87,7.3,297.0,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",19400000.0,195333312,123,0.0,0.0,-1.0,1.0,0.0,0.0,"March 4, 2018",tt5580390,https://www.rottentomatoes.com/m/the_shape_of_water_2017,0.8496710526315788
18,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, Marco Morabito",https://www.imdb.com//title/tt5726616/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,93,7.9,124.0,"['Drama', 'Romance']",4000000.0,41887595,132,-1.0,0.0,-1.0,0.0,0.0,0.0,"March 4, 2018",tt5726616,https://www.rottentomatoes.com/m/call_me_by_your_name,0.8271428571428568
19,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, Douglas Urbanski",https://www.imdb.com//title/tt4555426/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,75,7.4,345.0,"['Biography', 'Drama', 'History', 'War']",30000000.0,150847207,125,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"March 4, 2018",tt4555426,http://www.rottentomatoes.com/m/darkest_hour_2017,0.7490217391304348
20,Dunkirk,"Emma Thomas, Christopher Nolan",https://www.imdb.com//title/tt5013056/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,94,7.9,117.0,"['Action', 'Drama', 'History', 'Thriller', 'War']",100000000.0,526940665,106,1.0,0.0,-1.0,0.0,0.0,0.0,"March 4, 2018",tt5013056,http://www.rottentomatoes.com/m/dunkirk_2017/,0.8194805194805194
21,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele",https://www.imdb.com//title/tt5052448/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,84,7.7,252.0,"['Horror', 'Mystery', 'Thriller']",4500000.0,255413717,104,0.0,-1.0,-1.0,0.0,0.0,0.0,"March 4, 2018",tt5052448,http://www.rottentomatoes.com/m/771454573,0.8494545454545455
22,Lady Bird,"Scott Rudin, Eli Bush, Evelyn O'Neill",https://www.imdb.com//title/tt4925292/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,94,7.4,167.0,"['Comedy', 'Drama']",10000000.0,78965611,94,0.0,-1.0,-1.0,0.0,1.0,0.0,"March 4, 2018",tt4925292,https://www.rottentomatoes.com/m/lady_bird,0.8509803921568627
23,The Post,"Amy Pascal, Steven Spielberg, Kristie Macosko Krieger",https://www.imdb.com//title/tt6294822/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,83,7.2,810.0,"['Biography', 'Drama', 'History', 'Thriller']",50000000.0,179769457,116,0.0,-1.0,-1.0,0.0,0.0,-1.0,"March 4, 2018",tt6294822,https://www.rottentomatoes.com/m/the_post,0.7946874999999998
24,"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Peter Czernin, Martin McDonagh",https://www.imdb.com//title/tt5027774/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,88,8.2,238.0,"['Comedy', 'Crime', 'Drama']",15000000.0,160192031,115,0.0,1.0,-1.0,0.0,1.0,0.0,"March 4, 2018",tt5027774,http://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri/,0.8070089285714285
25,Moonlight,"Dede Gardner, Jeremy Kleiner, Adele Romanski",https://www.imdb.com//title/tt4975722/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,1,4,99,7.4,398.0,['Drama'],4000000.0,65336603,111,0.0,0.0,-1.0,-1.0,1.0,0.0,"February 26, 2017",tt4975722,http://www.rottentomatoes.com/m/moonlight_2016/,0.8632666666666665
26,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, David Linde",https://www.imdb.com//title/tt2543164/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,81,7.9,415.0,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",47000000.0,203388186,116,1.0,0.0,-1.0,-1.0,-1.0,-1.0,"February 26, 2017",tt2543164,http://www.rottentomatoes.com/m/story_of_your_life/,0.8530821917808218
27,Fences,"Todd Black, Scott Rudin, Denzel Washington",https://www.imdb.com//title/tt2671706/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,79,7.2,16.0,['Drama'],24000000.0,64414761,139,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,"February 26, 2017",tt2671706,http://www.rottentomatoes.com/m/fences_2016,0.7909523809523807
28,Hacksaw Ridge,"Bill Mechanic, David Permut",https://www.imdb.com//title/tt2119532/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,71,8.1,312.0,"['Biography', 'Drama', 'History', 'War']",40000000.0,180450918,139,0.0,-1.0,-1.0,-1.0,0.0,0.0,"February 26, 2017",tt2119532,http://www.rottentomatoes.com/m/hacksaw_ridge/,0.7357608695652174
29,Hell or High Water,"Carla Hacken, Julie Yorn",https://www.imdb.com//title/tt2582782/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,88,7.6,867.0,"['Action', 'Crime', 'Drama', 'Thriller', 'Western']",12000000.0,37879877,102,0.0,-1.0,-1.0,-1.0,0.0,0.0,"February 26, 2017",tt2582782,http://www.rottentomatoes.com/m/hell_or_high_water/,0.8368085106382979
30,Hidden Figures,"Peter Chernin, Donna Gigliotti, Theodore Melfi, Jenno Topping, Pharrell Williams",https://www.imdb.com//title/tt4846340/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,74,7.8,704.0,"['Biography', 'Drama', 'History']",25000000.0,235956898,127,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,"February 26, 2017",tt4846340,http://www.rottentomatoes.com/m/hidden_figures/,0.7646999999999999
31,La La Land,"Fred Berger, Jordan Horowitz, Marc Platt",https://www.imdb.com//title/tt3783958/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,93,8.0,340.0,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",30000000.0,446171671,128,1.0,1.0,-1.0,-1.0,1.0,1.0,"February 26, 2017",tt3783958,http://www.rottentomatoes.com/m/la_la_land/,0.8479999999999998
32,Lion,"Iain Canning, Angie Fielder, Emile Sherman",https://www.imdb.com//title/tt3741834/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,69,8.0,693.0,"['Biography', 'Drama']",12000000.0,140312928,118,-1.0,-1.0,-1.0,-1.0,0.0,0.0,"February 26, 2017",tt3741834,https://www.rottentomatoes.com/m/lion_2016,0.7639705882352941
33,Manchester by the Sea,"Lauren Beck, Matt Damon, Kimberly Steward, Chris Moore, Kevin J. Walsh",https://www.imdb.com//title/tt4034228/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,96,7.8,843.0,['Drama'],9000000.0,78988148,137,0.0,0.0,-1.0,-1.0,0.0,0.0,"February 26, 2017",tt4034228,http://www.rottentomatoes.com/m/manchester_by_the_sea/,0.8474999999999998
34,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin, Blye Pagon Faust",https://www.imdb.com//title/tt1895587/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,1,5,93,8.1,537.0,"['Biography', 'Crime', 'Drama']",20000000.0,98690254,129,-1.0,0.0,-1.0,1.0,0.0,1.0,"February 28, 2016",tt1895587,http://www.rottentomatoes.com/m/untitled_boston_globe_project/,0.8660869565217391
35,Bridge of Spies,"Steven Spielberg, Marc Platt, Kristie Macosko Krieger",https://www.imdb.com//title/tt3682448/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,81,7.6,710.0,"['Drama', 'History', 'Thriller']",40000000.0,165478348,142,-1.0,0.0,-1.0,0.0,-1.0,0.0,"February 28, 2016",tt3682448,http://www.rottentomatoes.com/m/bridge_of_spies/,0.7664423076923078
36,Brooklyn,"Finola Dwyer, Amanda Posey",https://www.imdb.com//title/tt2381111/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,88,7.5,6.0,"['Drama', 'Romance']",11000000.0,62076141,117,-1.0,-1.0,-1.0,0.0,-1.0,0.0,"February 28, 2016",tt2381111,http://www.rottentomatoes.com/m/brooklyn/,0.8401219512195122
37,Mad Max: Fury Road,"Doug Mitchell, George Miller",https://www.imdb.com//title/tt1392190/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,90,8.1,232.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",150000000.0,375209362,120,1.0,-1.0,-1.0,0.0,0.0,-1.0,"February 28, 2016",tt1392190,http://www.rottentomatoes.com/m/mad_max_fury_road/,0.8470312499999998
38,Room,Ed Guiney,https://www.imdb.com//title/tt3170832/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,86,8.1,483.0,"['Drama', 'Thriller']",13000000.0,35401758,118,-1.0,-1.0,-1.0,0.0,0.0,0.0,"February 28, 2016",tt3170832,http://www.rottentomatoes.com/m/room_2015/,0.8257317073170731
39,The Big Short,"Brad Pitt, Dede Gardner, Jeremy Kleiner",https://www.imdb.com//title/tt1596363/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,81,7.8,378.0,"['Biography', 'Comedy', 'Drama', 'History']",28000000.0,133440870,130,1.0,0.0,-1.0,0.0,-1.0,0.0,"February 28, 2016",tt1596363,http://www.rottentomatoes.com/m/the_big_short/,0.7804807692307693
40,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, Mark Huffam",https://www.imdb.com//title/tt3659388/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,80,8.0,391.0,"['Adventure', 'Drama', 'Sci-Fi']",108000000.0,630161890,144,0.0,-1.0,-1.0,0.0,-1.0,0.0,"February 28, 2016",tt3659388,http://www.rottentomatoes.com/m/the_martian/,0.8176785714285714
41,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, Keith Redmon",https://www.imdb.com//title/tt1663202/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,76,8.0,247.0,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Western']",135000000.0,532950503,156,0.0,1.0,-1.0,0.0,1.0,0.0,"February 28, 2016",tt1663202,http://www.rottentomatoes.com/m/the_revenant_2015/,0.776578947368421
42,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",https://www.imdb.com//title/tt2562232/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,1,6,87,7.7,382.0,"['Comedy', 'Drama']",18000000.0,103215094,119,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"February 22, 2015",tt2562232,http://www.rottentomatoes.com/m/birdman_2014/,0.8536046511627903
43,American Sniper,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper, Peter Morgan",https://www.imdb.com//title/tt2179136/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,72,7.3,909.0,"['Action', 'Biography', 'Drama', 'War']",58800000.0,547426372,133,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,"February 22, 2015",tt2179136,http://www.rottentomatoes.com/m/american_sniper/,0.6893877551020406
44,Boyhood,"Richard Linklater, Cathleen Sutherland",https://www.imdb.com//title/tt1065073/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,100,7.9,604.0,['Drama'],4000000.0,48137666,165,1.0,1.0,-1.0,1.0,1.0,-1.0,"February 22, 2015",tt1065073,http://www.rottentomatoes.com/m/boyhood/,0.8736111111111109
45,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, Jeremy Kleiner",https://www.imdb.com//title/tt1020072/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,85,7.5,280.0,"['Biography', 'Drama', 'History']",20000000.0,66787908,128,-1.0,-1.0,-1.0,0.0,0.0,-1.0,"February 22, 2015",tt1020072,http://www.rottentomatoes.com/m/selma/,0.8617999999999998
46,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",https://www.imdb.com//title/tt2278388/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,88,8.1,344.0,"['Adventure', 'Comedy', 'Crime']",25000000.0,172936941,99,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"February 22, 2015",tt2278388,http://www.rottentomatoes.com/m/the_grand_budapest_hotel/,0.8539814814814816
47,The Imitation Game,"Nora Grossman, Ido Ostrowsky, Teddy Schwarzman",https://www.imdb.com//title/tt2084970/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,73,8.0,747.0,"['Biography', 'Drama', 'Thriller', 'War']",14000000.0,233555708,114,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 22, 2015",tt2084970,http://www.rottentomatoes.com/m/the_imitation_game/,0.7736170212765956
48,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten",https://www.imdb.com//title/tt2980516/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,72,7.7,62.0,"['Biography', 'Drama', 'Romance']",15000000.0,123726688,123,-1.0,0.0,-1.0,0.0,0.0,-1.0,"February 22, 2015",tt2980516,http://www.rottentomatoes.com/m/the_theory_of_everything_2014/,0.7486666666666666
49,Whiplash,"Jason Blum, Helen Estabrook, David Lancaster",https://www.imdb.com//title/tt2582802/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,88,8.5,380.0,"['Drama', 'Music']",3300000.0,48982041,106,0.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 22, 2015",tt2582802,http://www.rottentomatoes.com/m/whiplash_2014/,0.8402340425531915
50,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, Anthony Katagas",https://www.imdb.com//title/tt2024544/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,1,7,96,8.1,478.0,"['Biography', 'Drama', 'History']",20000000.0,187733202,134,0.0,1.0,-1.0,1.0,1.0,-1.0,"March 2, 2014",tt2024544,http://www.rottentomatoes.com/m/12_years_a_slave/,0.8562820512820511
51,American Hustle,"Charles Roven, Richard Suckle, Megan Ellison, Jonathan Gordon",https://www.imdb.com//title/tt1800241/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,90,7.2,607.0,"['Crime', 'Drama']",40000000.0,251171807,138,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"March 2, 2014",tt1800241,http://www.rottentomatoes.com/m/american_hustle/,0.8291666666666665
52,Captain Phillips,"Scott Rudin, Dana Brunetti, Michael De Luca",https://www.imdb.com//title/tt1535109/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,83,7.8,833.0,"['Biography', 'Crime', 'Drama', 'Thriller']",55000000.0,218791811,134,1.0,0.0,-1.0,0.0,0.0,-1.0,"March 2, 2014",tt1535109,http://www.rottentomatoes.com/m/captain_phillips/,0.8388333333333333
53,Dallas Buyers Club,"Robbie Brenner, Rachel Winter",https://www.imdb.com//title/tt0790636/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,84,8.0,866.0,"['Biography', 'Drama']",5000000.0,55736588,117,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 2, 2014",tt0790636,http://www.rottentomatoes.com/m/dallas_buyers_club_2013/,0.7958536585365853
54,Gravity,"Alfonso Cuarón, David Heyman",https://www.imdb.com//title/tt1454468/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,96,7.7,108.0,"['Drama', 'Sci-Fi', 'Thriller']",100000000.0,723192705,91,0.0,0.0,-1.0,0.0,0.0,-1.0,"March 2, 2014",tt1454468,http://www.rottentomatoes.com/m/gravity_2013/,0.877136842105263
55,Her,"Megan Ellison, Spike Jonze, Vincent Landay",https://www.imdb.com//title/tt1798709/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,90,8.0,269.0,"['Drama', 'Romance', 'Sci-Fi']",23000000.0,48416523,126,0.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 2, 2014",tt1798709,http://www.rottentomatoes.com/m/her/,0.8398863636363635
56,Nebraska,"Albert Berger, Ron Yerxa",https://www.imdb.com//title/tt1821549/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,86,7.7,303.0,"['Adventure', 'Comedy', 'Drama']",12000000.0,27682872,115,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 2, 2014",tt1821549,http://www.rottentomatoes.com/m/nebraska/,0.7952127659574468
57,Philomena,"Gabrielle Tana, Steve Coogan, Tracey Seaward",https://www.imdb.com//title/tt2431286/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,77,7.6,,"['Biography', 'Comedy', 'Drama']",12000000.0,100129872,98,-1.0,0.0,-1.0,-1.0,0.0,-1.0,"March 2, 2014",tt2431286,http://www.rottentomatoes.com/m/philomena/,
58,The Wolf of Wall Street,"Leonardo DiCaprio, Emma Tillinger Koskoff, Joey McFarland, Martin Scorsese",https://www.imdb.com//title/tt0993846/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,75,8.2,131.0,"['Biography', 'Crime', 'Drama']",100000000.0,392000694,180,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 2, 2014",tt0993846,http://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013/,0.769016393442623
59,Argo,"Grant Heslov, Ben Affleck, George Clooney",https://www.imdb.com//title/tt1024648/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,1,8,86,7.7,924.0,"['Biography', 'Drama', 'Thriller']",44500000.0,232325503,120,1.0,1.0,-1.0,1.0,1.0,-1.0,"February 24, 2013",tt1024648,http://www.rottentomatoes.com/m/argo_2012/,0.8391525423728816
60,Beasts of the Southern Wild,"Dan Janvey, Josh Penn, Michael Gottwald",https://www.imdb.com//title/tt2125435/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,86,7.3,769.0,"['Adventure', 'Drama', 'Fantasy']",1800000.0,21107746,93,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 24, 2013",tt2125435,http://www.rottentomatoes.com/m/beasts_of_the_southern_wild/,0.8370588235294116
61,Django Unchained,"Stacey Sher, Reginald Hudlin, Pilar Savone",https://www.imdb.com//title/tt1853728/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,81,8.4,250.0,"['Drama', 'Western']",100000000.0,425368238,165,-1.0,-1.0,-1.0,0.0,0.0,-1.0,"February 24, 2013",tt1853728,http://www.rottentomatoes.com/m/django_unchained_2012/,0.804074074074074
62,Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, Cameron Mackintosh",https://www.imdb.com//title/tt1707386/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,63,7.6,293.0,"['Drama', 'History', 'Musical', 'Romance', 'War']",61000000.0,441809770,158,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"February 24, 2013",tt1707386,http://www.rottentomatoes.com/m/les_miserables_2012/,0.7404444444444445
63,Life of Pi,"Gil Netter, Ang Lee, David Womark",https://www.imdb.com//title/tt0454876/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,79,7.9,841.0,"['Adventure', 'Drama', 'Fantasy']",120000000.0,609016565,127,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2013",tt0454876,http://www.rottentomatoes.com/m/life-of-pi/,0.7989361702127661
64,Lincoln,"Steven Spielberg, Kathleen Kennedy",https://www.imdb.com//title/tt0443272/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,86,7.3,895.0,"['Biography', 'Drama', 'History', 'War']",65000000.0,275293450,150,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2013",tt0443272,http://www.rottentomatoes.com/m/lincoln_2011/,0.8121276595744679
